healing_avg_per_10m, final_blows_avg_per_10m, role, deaths_avg_per_10m, playerId, name, eliminations_avg_per_10m, teamId, team, ultimates_earned_avg_per_10m, time_played_totalhero_damage_avg_per_10m, 
5377.617972225125, 2.1496316244769824, support, 3.116329869803909, 4663, Closer, 13.902647133451724, 4523, DAL, 3.103610156049607, 47170.872834861284115.231424755192, 
38.22436995170213, 4.968570985937399, offense, 5.0989796732323445, 5306, ColourHex, 16.36629025551558, 4402, BOS, 4.264364074544697, 46009.204788863669587.886055282326, 
5540.667768717493, 1.9434661126419335, support, 3.727195284518776, 8892, CoMa, 11.274765735669298, 4408, SHD, 2.941821992423748, 45074.107251048093016.6703215949788, 
0.5534467593319241, 4.80684224898941, tank, 4.357851489468421, 4138, coolmatt, 16.058022458162423, 4525, HOU, 4.3842627106167145, 22717.6167520284657308.383579752691, 
70.50520322456707, 5.4718989438815875, offense, 5.295822987766586, 8784, Corey, 14.763291705027054, 7697, WAS, 4.496709033090809, 44299.063722848899568.998348619567, 
6517.190746852937, 1.5975456661998977, support, 4.223648131186031, 3577, Custa, 11.642387594771858, 4405, VAL, 3.370164830065537, 27417.056630492214271.294158343587, 
0.1431308874950888, 5.125695875359744, tank, 3.6638548134340407, 8701, Daco, 18.78188199815935, 7698, ATL, 2.9051778066118406, 32424.8656263351446788.8981904619595, 
437.14414142572446, 4.7054871947987325, offense, 4.190287866901061, 4489, Danteh, 16.778324778534166, 4525, HOU, 4.671140572938888, 34937.933776915078564.970253088479, 
4224.375072791892, 6.069242006254961, offense, 5.871331940833604, 8746, danye, 13.655794514073662, 7694, PAR, 4.3540214392698635, 9095.040194988257255.106314436467, 
524.589247848867, 6.2593710221918535, offense, 3.9502295082046035, 8895, DDing, 19.475212391552844, 4408, SHD, 4.7199433462003535, 41314.055211484438769.475042821441, 
74.9230832779419, 6.599112525840342, offense, 4.235251322554249, 8180, Decay, 19.81375328032162, 4406, GLA, 4.612812486968, 36550.36931943893410274.447158644347, 
13.302024788101633, 7.644124541494891, offense, 4.821010364238255, 8893, diem, 20.833134877293844, 4408, SHD, 4.5169826836106175, 41443.594787120829575.297358067512, 
0, 7.223194474562393, offense, 4.815462983041596, 4615, Diya, 14.446388949124787, 4408, SHD, 3.6115972372811966, 498.394444823265110081.81698378452, 
8990.275474957933, 4.371218484707019, support, 5.370354138354338, 9251, Dogman, 15.392933664004003, 7698, ATL, 4.808340333177721, 38433.2196131944667163.612226416055, 
4448.817295355773, 4.242035156958243, offense, 4.289432197818112, 8722, Eileen, 15.56992792246685, 7699, GZC, 4.5501159225473895, 25318.036278843886340.183110082375, 
7268.11958214249, 3.883155772442293, support, 5.408681254473194, 5175, Elk, 12.134861788882166, 4524, PHI, 3.952497839807334, 8652.756152212625769.1949395174115, 
74.65961934640343, 5.747287059398637, tank, 3.8225515804899595, 8787, Elsa, 18.291716893964278, 7692, CDH, 3.095728392650319, 44577.554131567487411.652006627179, 
119.35567543978257, 5.189362023328254, tank, 4.355138341091089, 4634, Envy, 16.868493574648582, 7695, TOR, 3.484110672872871, 48907.7460502982146989.921752040765, 
8667.587721199849, 4.0891286270604, offense, 5.257451091934799, 4083, eqo, 17.047970660922363, 4524, PHI, 4.732898148521803, 50328.570893585685733.260513263372, 
7331.960102843669, 5.093813818406355, offense, 4.995382633509614, 8692, Erster, 18.062122428552, 7698, ATL, 4.761608569379854, 48765.033206045635989.710826979079, 
6900.108279124612, 1.5149713969316752, support, 3.5168978857342466, 8684, Fahzix, 10.036685504672349, 7697, WAS, 3.2734203397987987, 22178.6365525126464379.956218541275, 
0, 4.0599764459651135, tank, 6.294240213398745, 4636, Fate, 13.916271465729476, 4407, FLA, 4.5578980855646085, 46995.3465344905858087.818792028812, 
68.05268937531083, 5.4888483607990395, tank, 4.359310434460973, 5864, Finnsi, 18.054957791310024, 7694, PAR, 3.900435651886134, 33996.202433407316998.981126663677, 
0, 5.221529664032239, tank, 5.537347990485801, 4657, Fissure, 16.696262191845022, 4409, SEO, 4.442511125446784, 28497.396275460727969.496063479301, 
1.1857935049389272, 6.256923377880016, offense, 4.088682603367139, 8831, FITS, 19.307667849233713, 4409, SEO, 4.708179967513676, 29055.81369954347610807.417463761796, 
6420.653469976083, 4.211221953433743, offense, 5.213893847108443, 8235, Fl0w3R, 12.633665860301228, 4403, NYE, 4.211221953433743, 2992.00567895174034275.205087197275, 
1686.9892384026134, 6.437368969483711, offense, 4.2018839254186275, 4631, Fleta, 19.66398881353545, 4409, SEO, 4.470970088130166, 28986.997775733479856.622332111981, 
61.04456622912159, 5.634643173490847, tank, 3.648330112332203, 9591, frd, 19.092927587871863, 7698, ATL, 2.6349050811288133, 14801.2921904921536993.765561181498, 
